Time,1,2,3,4
2.665000,-2.528571,-20.218966,-10.936283,1.890654
2.665500,4.661905,-18.789655,-5.304425,0.473832
2.666000,1.785714,-17.360345,-15.160177,-5.193458
2.666500,0.347619,-15.931034,-9.528319,-0.942991
2.667000,1.785714,-17.360345,-5.304425,-10.860748
2.667500,-1.090476,-17.360345,7.367257,-2.359813
2.668000,3.223810,-34.512069,-8.120354,-0.942991
2.668500,0.347619,-35.941379,-12.344248,-2.359813
2.669000,0.347619,-15.931034,-9.528319,0.473832
2.669500,7.538095,-23.077586,-9.528319,-0.942991
2.670000,-1.090476,-20.218966,-12.344248,-0.942991
2.670500,0.347619,-21.648276,-13.752212,1.890654
2.671000,3.223810,-20.218966,-13.752212,-0.942991
2.671500,4.661905,-20.218966,-16.568142,-3.776636
2.672000,3.223810,-20.218966,-15.160177,-5.193458
2.672500,0.347619,-21.648276,-5.304425,-0.942991
2.673000,3.223810,-20.218966,-15.160177,-0.942991
2.673500,3.223810,-20.218966,-12.344248,-0.942991
2.674000,0.347619,-28.794828,-10.936283,0.473832
2.674500,0.347619,-23.077586,-10.936283,-0.942991
2.675000,7.538095,-24.506897,-8.120354,-0.942991
2.675500,14.728571,-18.789655,-10.936283,0.473832
2.676000,10.414286,-15.931034,-9.528319,-5.193458
2.676500,-1.090476,-15.931034,-9.528319,4.724299
2.677000,4.661905,-13.072414,-8.120354,4.724299
2.677500,4.661905,-18.789655,-5.304425,-5.193458
2.678000,4.661905,-17.360345,0.327434,0.473832
2.678500,1.785714,-15.931034,-8.120354,4.724299
2.679000,3.223810,-25.936207,-3.896460,1.890654
2.679500,3.223810,-17.360345,-3.896460,1.890654
2.680000,3.223810,-24.506897,-2.488496,3.307477
2.680500,-1.090476,-21.648276,-2.488496,6.141121
2.681000,-1.090476,-17.360345,-5.304425,0.473832
2.681500,17.604762,-20.218966,-1.080531,4.724299
2.682000,-3.966667,-21.648276,-6.712389,-3.776636
2.682500,3.223810,-18.789655,-8.120354,18.892523
2.683000,3.223810,-18.789655,-8.120354,16.058879
2.683500,4.661905,-15.931034,11.591150,1.890654
2.684000,4.661905,-11.643103,-5.304425,4.724299
2.684500,3.223810,-15.931034,-10.936283,6.141121
2.685000,10.414286,-10.213793,-9.528319,11.808411
2.685500,4.661905,-8.784483,-9.528319,13.225234
2.686000,3.223810,-8.784483,-6.712389,13.225234
2.686500,-3.966667,-21.648276,-8.120354,14.642056
2.687000,-2.528571,-15.931034,-5.304425,14.642056
2.687500,16.166667,-13.072414,-2.488496,16.058879
2.688000,-5.404762,-15.931034,-1.080531,4.724299
2.688500,3.223810,-15.931034,-2.488496,25.976636
2.689000,3.223810,-11.643103,12.999115,8.974766
2.689500,0.347619,-8.784483,-9.528319,4.724299
2.690000,3.223810,-15.931034,-1.080531,1.890654
2.690500,0.347619,-8.784483,1.735398,0.473832
2.691000,1.785714,-23.077586,-1.080531,-5.193458
2.691500,4.661905,1.220690,-2.488496,-5.193458
2.692000,-6.842857,-10.213793,-1.080531,-8.027103
2.692500,-9.719048,-10.213793,0.327434,-8.027103
2.693000,21.919048,-10.213793,-1.080531,-2.359813
2.693500,-5.404762,-8.784483,1.735398,-16.528037
2.694000,0.347619,-10.213793,0.327434,7.557944
2.694500,3.223810,-8.784483,5.959292,-2.359813
2.695000,4.661905,-10.213793,0.327434,-0.942991
2.695500,3.223810,-14.501724,8.775221,0.473832
2.696000,0.347619,-10.213793,1.735398,1.890654
2.696500,1.785714,-5.925862,7.367257,-0.942991
2.697000,3.223810,-4.496552,7.367257,-2.359813
2.697500,0.347619,-18.789655,4.551327,0.473832
2.698000,-1.090476,-8.784483,5.959292,-0.942991
2.698500,10.414286,-10.213793,10.183186,-3.776636
2.699000,-2.528571,-7.355172,11.591150,-0.942991
2.699500,-3.966667,-5.925862,14.407080,1.890654
2.700000,4.661905,-5.925862,14.407080,-10.860748
2.700500,4.661905,-7.355172,18.630973,-2.359813
2.701000,3.223810,-1.637931,32.710619,-5.193458
2.701500,4.661905,-3.067241,10.183186,-3.776636
2.702000,3.223810,-18.789655,17.223009,-0.942991
2.702500,7.538095,6.937931,17.223009,-3.776636
2.703000,1.785714,-17.360345,14.407080,0.473832
2.703500,3.223810,-7.355172,12.999115,0.473832
2.704000,11.852381,-8.784483,15.815044,0.473832
2.704500,0.347619,-5.925862,12.999115,0.473832
2.705000,4.661905,-5.925862,11.591150,-5.193458
2.705500,3.223810,-8.784483,21.446903,-0.942991
2.706000,3.223810,-5.925862,10.183186,-0.942991
2.706500,4.661905,-10.213793,25.670796,1.890654
2.707000,7.538095,-4.496552,11.591150,-0.942991
2.707500,1.785714,-20.218966,14.407080,1.890654
2.708000,1.785714,-7.355172,14.407080,-2.359813
2.708500,7.538095,-8.784483,15.815044,-0.942991
2.709000,-5.404762,-10.213793,12.999115,-2.359813
2.709500,24.795238,-7.355172,14.407080,3.307477
2.710000,7.538095,-5.925862,10.183186,-10.860748
2.710500,4.661905,-7.355172,15.815044,-6.610280
2.711000,3.223810,-7.355172,10.183186,16.058879
2.711500,4.661905,-10.213793,4.551327,-0.942991
2.712000,4.661905,-4.496552,12.999115,-0.942991
2.712500,3.223810,-1.637931,5.959292,-0.942991
2.713000,4.661905,-11.643103,12.999115,1.890654
2.713500,1.785714,-10.213793,14.407080,-0.942991
2.714000,13.290476,-10.213793,7.367257,-0.942991
2.714500,26.233333,-8.784483,14.407080,-0.942991
2.715000,-5.404762,-8.784483,12.999115,-10.860748
2.715500,7.538095,-5.925862,15.815044,14.642056
2.716000,7.538095,-3.067241,11.591150,-6.610280
2.716500,7.538095,-3.067241,18.630973,0.473832
2.717000,11.852381,1.220690,10.183186,1.890654
2.717500,7.538095,-0.208621,10.183186,1.890654
2.718000,8.976190,-13.072414,10.183186,4.724299
2.718500,4.661905,-11.643103,5.959292,3.307477
2.719000,10.414286,-0.208621,5.959292,3.307477
2.719500,-3.966667,-1.637931,10.183186,-2.359813
2.720000,10.414286,-3.067241,7.367257,3.307477
2.720500,10.414286,-3.067241,4.551327,16.058879
2.721000,10.414286,-7.355172,1.735398,-5.193458
2.721500,8.976190,-1.637931,3.143363,8.974766
2.722000,8.976190,-3.067241,-1.080531,4.724299
2.722500,8.976190,-7.355172,1.735398,1.890654
2.723000,10.414286,-14.501724,0.327434,-0.942991
2.723500,10.414286,1.220690,-2.488496,1.890654
2.724000,-5.404762,-10.213793,-2.488496,-0.942991
2.724500,21.919048,-8.784483,-1.080531,4.724299
2.725000,0.347619,-7.355172,-1.080531,-10.860748
2.725500,3.223810,-4.496552,-1.080531,17.475701
2.726000,8.976190,-4.496552,5.959292,-8.027103
2.726500,6.100000,-3.067241,-3.896460,4.724299
2.727000,8.976190,-3.067241,-1.080531,4.724299
2.727500,7.538095,-1.637931,24.262832,6.141121
2.728000,11.852381,-5.925862,5.959292,7.557944
2.728500,11.852381,5.508621,5.959292,4.724299
2.729000,10.414286,-7.355172,5.959292,3.307477
2.729500,11.852381,1.220690,4.551327,4.724299
2.730000,14.728571,6.937931,7.367257,-0.942991
2.730500,4.661905,5.508621,3.143363,7.557944
2.731000,13.290476,1.220690,5.959292,6.141121
2.731500,13.290476,1.220690,-2.488496,-2.359813
2.732000,10.414286,-0.208621,11.591150,3.307477
2.732500,8.976190,1.220690,0.327434,6.141121
2.733000,8.976190,-10.213793,3.143363,0.473832
2.733500,11.852381,16.943103,5.959292,1.890654
2.734000,13.290476,16.943103,4.551327,4.724299
2.734500,-2.528571,-0.208621,4.551327,1.890654
2.735000,-3.966667,2.650000,3.143363,0.473832
2.735500,26.233333,1.220690,0.327434,4.724299
2.736000,8.976190,-0.208621,0.327434,-6.610280
2.736500,11.852381,-0.208621,0.327434,6.141121
2.737000,10.414286,1.220690,-9.528319,-2.359813
2.737500,10.414286,-0.208621,3.143363,0.473832
2.738000,11.852381,-1.637931,-5.304425,3.307477
2.738500,8.976190,-7.355172,-6.712389,1.890654
2.739000,11.852381,-3.067241,-6.712389,3.307477
2.739500,10.414286,8.367241,-5.304425,0.473832
2.740000,11.852381,-10.213793,-3.896460,3.307477
2.740500,4.661905,-1.637931,-5.304425,3.307477
2.741000,30.547619,1.220690,-3.896460,4.724299
